Test case_ID,TestScenario ID,Pre-Condition,Test Condition,Test case steps,Test data,Expected Result,Actual Result,Status,Comments
TC_APPEARANCE_001,TS_APPEARANCE_001,URL should be in working condition,Verify user is able to click on Appearance module ,1.open chrome browser           2.Enter the URL                  3.Click on Appesrance module,https://wordpress.com/,user should able navigating to displayed Themes page,user is able navigating to displayed Themes page,PASS,
TC_INSTALL THEME_001,TS_INSTALL THEME_002,URL should be in working condition,Verify that user is able to  click on Install Theme button   ,1..open chrome browser           2.Enter the URL                  3.Click on install Theme button,https://wordpress.com/, user should able navigating display Business plan to access the theme install features button, user is able navigating display Business plan to access the theme install features button,PASS,
TC_INSTALL THEME_002,TS_INSTALL THEME_002,URL should be in working condition,Verify that user is able to click on Business plan to access the theme install features it will navigate to orders page    ,1..open chrome browser           2.Enter the URL                  3.Click on install Theme button                                4.Click on Business plan to access the theme install features button,https://wordpress.com/,user should able to navigate plans page,user is able to navigate plans page,PASS,
TC_INSTALL THEME_003,TS_INSTALL THEME_002,URL should be in working condition,"Verify that user is able to click on install theme button it will display upgrade to the business plan button and click the button and enter all the values into Text field in Payment method and click on Pay button,OTP will be comes to users mobile number ",1.open chrome browser           2.Enter the URL                  3.Click on install Theme button                                4.Click on Business plan to access the theme install features button,https://wordpress.com/,users should able to getting OTP to user mobile number,users is able to getting OTP to user mobile number,PASS,
TC_INSTALL THEME_004,TS_INSTALL THEME_002,URL should be in working condition,"Verify that user is able to click on install theme button it will display upgrade to the business plan button and click the button and enter all the values into Text field in Payment method and click on Pay button,OTP will be comes to users email ID",1.open chrome browser           2.Enter the URL                  3.Click on install Theme button                                4.Click on Business plan to access the theme install features button,https://wordpress.com/,users should able to getting OTP to user email ID,users is able to getting OTP to user email ID,PASS,
TC_INFO_001,TS_INFO_003,URL should be in working condition,Verify that user is able to click on Info button   ,1.Open Chrome browser          2.Enter URL                                 3.Click on info button,https://wordpress.com/,user should getting a theme summary page,user is getting a theme summary page,PASS,
TC_FREE BUTTON_001,TS_FREE BUTTON_004,URL should be in working condition,Verify that user is able to click on Free button,1.Open Chrome browser          2.Enter URL                                 3.Click on Free button,https://wordpress.com/,user should able to see all free themes page,user is able to see all free themes page,PASS,
TS_PREMIUM BUTTON_001,TS_PREMIUM BUTTON_005,URL should be in working condition,Verify that user is click on Premium button in Themes page,1.Open Chrome browser          2.Enter URL                                 3.Click on Premium button,https://wordpress.com/,user should able to see paid for use Themes page,user is able to see paid for use Themes page,PASS,
TC_ACTIVE THEME_001,TS_ACTIVE THEME_006,URL should be in working condition,Verify that user is click on any theme In themes page,1.Open Chrome browser          2.Enter URL                                 3.Click on any themes from themes page,https://wordpress.com/,user should able to click on any theme it will navigate to Active theme page,user is able to click on any theme it will navigate to Active theme page,PASS,
TC_RECOMMENDED_001,TS_RECOMMENDED_007,URL should be in working condition,Verify that user is click on Recomanded link,1.Open Chrome browser          2.Enter URL                                 3.Click on Recomanded link button,https://wordpress.com/,user should able to see Recomanded Themes list button,user is able to see Recomanded Themes list button,PASS,
TC_RECOMMENDED_002,TS_RECOMMENDED_007,URL should be in working condition,Verify that user is  click on recommended link and select one Theme and click on Activate button,1.Open Chrome browser          2.Enter URL                                 3.Click on recomanded link button                                          4.click on one free Theme,https://wordpress.com/,Activated Theme should be displayed on the Themes Home Page,Activated Theme is been displayed on the Themes Home Page,PASS,
TC_TRENDING LINK_001,TS_TRENDING LINK_008,URL should be in working condition,Verify that user is click on Trending link,1.Open Chrome browser          2.Enter URL                                 3.Click on Trending link button                                         ,https://wordpress.com/,user should able to see Trending Themes list button,user is able to see Trending Themes list button,PASS,
TC_TRENDING LINK_002,TS_TRENDING LINK_008,URL should be in working condition,Verify that user is able to click on Trending link and select one Theme and click on Activate button ,1.Open Chrome browser          2.Enter URL                                 3.Click on Trending link button                                          4.click on one free Theme,https://wordpress.com/,Activated Theme should displayed on the Themes Home Page,Activated Theme is been displayed on the Themes Home Page,PASS,
TC_ALL THEMES LINK_001,TS_ALL THEMES LINK_009,URL should be in working condition,Verify that user is click on All Themes link ,1.Open Chrome browser          2.Enter URL                                 3.Click on All themes link button  ,https://wordpress.com/,user should able to see Trending Theme and  Recomanded Themes list,,PASS,
TC_ALL THEMES LINK_002,TS_ALL THEMES LINK_009,URL should be in working condition,Verify that user is click on All Themes link and select one Theme click on Activate button,1.Open Chrome browser          2.Enter URL                                 3.Click on All themes link button                                          4.click on one free Theme,https://wordpress.com/,user should able to see visit forum button,user is able to see visit forum button,PASS,
TC_ANY  THEME_001,TS_ANY  THEME_010,URL should be in working condition,Verify that user is able to click on any theme,1.Open Chrome browser          2.Enter URL                                 3.Click on any theme,https://wordpress.com/,user should able to navigate Active theme page                                                                        ,user is able to navigate Active theme page    ,PASS,
TC_ANY  THEME_002,TS_ANY  THEME_010,URL should be in working condition,Verify that user is able to click on any theme it will navigate to Active theme page and click on support button,1.Open Chrome browser          2.Enter URL                                 3.Click on any theme         4.click on support button,https://wordpress.com/,user should able to see visit forum button,user is able to see visit forum button,PASS,
TC_ANY  THEME_003,TS_ANY  THEME_010,URL should be in working condition,Verify that user is able to click on any theme it will navigate to Active theme page and click on overview button,1.Open Chrome browser          2.Enter URL                                 3.Click on any theme         4.click on overview button,https://wordpress.com/,user should able to see the discription about the particular theme,user is able to see the discription about the particular theme,PASS,
TC_ANY  THEME_004,TS_ANY  THEME_010,URL should be in working condition,Verify that user is able to click on any theme and click on open live demo link,1.Open Chrome browser          2.Enter URL                                 3.Click on any theme         4.click on open live demo link,https://wordpress.com/,user should able to get  the preview of the theme page,user is able to get  the preview of the theme page,PASS,
